url	first_seen	portal	title	company	status
https://www.google.com/about/careers/applications/jobs/results/122655033878553286-engineering-manager/	2026-04-06	websearch	Engineering Manager, ML Infrastructure, Core	Google	matched
https://www.google.com/about/careers/applications/jobs/results/80997556607165126-data-engineering-manager/	2026-04-06	websearch	Data Engineering Manager, AIM, Enterprise Platform	Google	matched
https://www.google.com/about/careers/applications/jobs/results/128732384970318534-engineering-manager/	2026-04-06	websearch	Engineering Manager, Google Cloud Dataflow, ML, Platforms	Google	matched
https://www.google.com/about/careers/applications/jobs/results/97491732936958662-engineering-manager-gke-ai-experience-and-ecosystem	2026-04-06	websearch	Engineering Manager, GKE AI, Experience and Ecosystem	Google	matched
https://www.google.com/about/careers/applications/jobs/results/124740939523465926-site-reliability-engineer/	2026-04-06	websearch	Site Reliability Engineer, Google Cloud Engine AI SRE	Google	matched
https://www.google.com/about/careers/applications/jobs/results/101996441991291590-staff-site-reliability-engineer/	2026-04-06	websearch	Staff Site Reliability Engineer, DeepMind SRE	Google	matched
https://www.google.com/about/careers/applications/jobs/results/122258040807137990-software-engineer-phd-early-career-aimachine-learning-2026-start	2026-04-06	websearch	Software Engineer, PhD, Early Career, AI/ML, 2026 Start	Google	skipped
https://www.google.com/about/careers/applications/jobs/results/88714689822761670-software-engineer-phd-early-career-infrastructure-2026-start	2026-04-06	websearch	Software Engineer, PhD, Early Career, Infrastructure, 2026 Start	Google	skipped
https://careers.airbnb.com/positions/7775934/	2026-04-06	websearch	Senior Software Engineer, Knowledge Graph	Airbnb	matched
https://careers.airbnb.com/positions/7683174/	2026-04-06	websearch	Senior Software Engineer, Data Infrastructure	Airbnb	matched
https://careers.airbnb.com/positions/7095225/	2026-04-06	websearch	Staff Software Engineer, Data Engineering	Airbnb	matched
https://careers.airbnb.com/positions/7707946/	2026-04-06	websearch	Engineering Manager, Workflow Orchestration - Data Infrastructure	Airbnb	matched
https://careers.airbnb.com/positions/7568919/	2026-04-06	websearch	Senior Software Engineer, Cloud Infrastructure AI	Airbnb	matched
https://careers.airbnb.com/positions/7094964/	2026-04-06	websearch	Senior Software Engineer, Data Authoring Platform	Airbnb	matched
https://careers.airbnb.com/positions/7081518/	2026-04-06	websearch	Senior Software Engineer, ML Infrastructure	Airbnb	matched
https://careers.airbnb.com/positions/7095216/	2026-04-06	websearch	Senior Software Engineer, Data Engineering	Airbnb	matched
https://careers.airbnb.com/positions/7592146/	2026-04-06	websearch	Senior Staff Machine Learning Engineer, Trust	Airbnb	matched
https://careers.airbnb.com/positions/7782308/	2026-04-06	websearch	Staff Software Engineer, Authorization	Airbnb	matched
https://careers.airbnb.com/positions/7702714/	2026-04-06	websearch	Staff Software Engineer (Technical Lead), Storage	Airbnb	matched
https://careers.airbnb.com/positions/7463663/	2026-04-06	websearch	Senior Staff Data Engineer, Marketplaces DNA	Airbnb	matched
https://job-boards.greenhouse.io/vercel/jobs/5829980004	2026-04-08	greenhouse-api	Engineering Manager, AI Gateway	Vercel	matched
https://job-boards.greenhouse.io/vercel/jobs/5701765004	2026-04-08	greenhouse-api	Engineering Manager, CDN	Vercel	matched
https://job-boards.greenhouse.io/vercel/jobs/5461002004	2026-04-08	greenhouse-api	Sr. Engineering Manager, Platform	Vercel	matched
https://job-boards.greenhouse.io/vercel/jobs/5788954004	2026-04-08	greenhouse-api	Senior Software Engineer, Trust & Safety	Vercel	matched
https://job-boards.greenhouse.io/vercel/jobs/5704320004	2026-04-08	greenhouse-api	Software Engineer, Agent	Vercel	matched
https://job-boards.greenhouse.io/vercel/jobs/5798406004	2026-04-08	greenhouse-api	Software Engineer, AI Gateway	Vercel	matched
https://job-boards.greenhouse.io/vercel/jobs/5474915004	2026-04-08	greenhouse-api	Software Engineer, AI SDK	Vercel	matched
https://job-boards.greenhouse.io/vercel/jobs/5431123004	2026-04-08	greenhouse-api	Software Engineer, Backend	Vercel	matched
https://job-boards.greenhouse.io/vercel/jobs/5430088004	2026-04-08	greenhouse-api	Software Engineer, Backend	Vercel	matched
https://job-boards.greenhouse.io/vercel/jobs/5179639004	2026-04-08	greenhouse-api	Software Engineer, CDN	Vercel	matched
https://job-boards.greenhouse.io/vercel/jobs/5473266004	2026-04-08	greenhouse-api	Software Engineer, CDN Security	Vercel	skipped
https://job-boards.greenhouse.io/vercel/jobs/5551619004	2026-04-08	greenhouse-api	Software Engineer, Compute	Vercel	matched
https://job-boards.greenhouse.io/vercel/jobs/5808568004	2026-04-08	greenhouse-api	Software Engineer, Dashboard	Vercel	skipped
https://job-boards.greenhouse.io/vercel/jobs/5633880004	2026-04-08	greenhouse-api	Software Engineer, Deployment Infrastructure	Vercel	matched
https://job-boards.greenhouse.io/vercel/jobs/5813134004	2026-04-08	greenhouse-api	Software Engineer, Domains	Vercel	skipped
https://job-boards.greenhouse.io/vercel/jobs/5613601004	2026-04-08	greenhouse-api	Software Engineer, Growth	Vercel	skipped
https://job-boards.greenhouse.io/vercel/jobs/5798416004	2026-04-08	greenhouse-api	Software Engineer, Workflows	Vercel	matched
https://job-boards.greenhouse.io/vercel/jobs/5843010004	2026-04-08	greenhouse-api	Anti-Abuse Automation Engineer	Vercel	skipped
https://job-boards.greenhouse.io/gleanwork/jobs/4547218005	2026-04-08	greenhouse-api	Cloud Infrastructure Engineer	Glean	matched
https://job-boards.greenhouse.io/gleanwork/jobs/4654833005	2026-04-08	greenhouse-api	Lead Site Reliability Engineer	Glean	matched
https://job-boards.greenhouse.io/gleanwork/jobs/4598386005	2026-04-08	greenhouse-api	Lead Software Engineer, Product Backend	Glean	matched
https://job-boards.greenhouse.io/gleanwork/jobs/4605215005	2026-04-08	greenhouse-api	Machine Learning Engineer, AI Assistant & Autonomous AI Agents	Glean	matched
https://job-boards.greenhouse.io/gleanwork/jobs/4501783005	2026-04-08	greenhouse-api	Machine Learning Engineer, Infrastructure	Glean	matched
https://job-boards.greenhouse.io/gleanwork/jobs/4669417005	2026-04-08	greenhouse-api	Machine Learning Engineer, LLM Evals & Observability	Glean	matched
https://job-boards.greenhouse.io/gleanwork/jobs/4006735005	2026-04-08	greenhouse-api	Machine Learning Engineer, Search Quality	Glean	matched
https://job-boards.greenhouse.io/gleanwork/jobs/4616929005	2026-04-08	greenhouse-api	Software Engineer, Agentic Runtime	Glean	matched
https://job-boards.greenhouse.io/gleanwork/jobs/4581643005	2026-04-08	greenhouse-api	Software Engineer, Backend	Glean	matched
https://job-boards.greenhouse.io/gleanwork/jobs/4006731005	2026-04-08	greenhouse-api	Software Engineer, Backend	Glean	matched
https://job-boards.greenhouse.io/gleanwork/jobs/4675862005	2026-04-08	greenhouse-api	Software Engineer, Billing & Revenue Platform	Glean	skipped
https://job-boards.greenhouse.io/gleanwork/jobs/4638008005	2026-04-08	greenhouse-api	Software Engineer, Context Platform	Glean	matched
https://job-boards.greenhouse.io/gleanwork/jobs/4637208005	2026-04-08	greenhouse-api	Software Engineer, Data Foundations	Glean	matched
https://job-boards.greenhouse.io/gleanwork/jobs/4614706005	2026-04-08	greenhouse-api	Software Engineer, Developer Productivity	Glean	skipped
https://job-boards.greenhouse.io/gleanwork/jobs/4006734005	2026-04-08	greenhouse-api	Software Engineer, Fullstack	Glean	skipped
https://job-boards.greenhouse.io/gleanwork/jobs/4659229005	2026-04-08	greenhouse-api	Software Engineer, Insights	Glean	skipped
https://job-boards.greenhouse.io/gleanwork/jobs/4012745005	2026-04-08	greenhouse-api	Software Engineer, Machine Learning	Glean	matched
https://job-boards.greenhouse.io/gleanwork/jobs/4636739005	2026-04-08	greenhouse-api	Software Engineer, Platform	Glean	matched
https://job-boards.greenhouse.io/gleanwork/jobs/4428090005	2026-04-08	greenhouse-api	Software Engineer, Product Backend	Glean	skipped
https://job-boards.greenhouse.io/gleanwork/jobs/4605446005	2026-04-08	greenhouse-api	Software Engineer, AI & Security	Glean	skipped
https://job-boards.greenhouse.io/gleanwork/jobs/4592324005	2026-04-08	greenhouse-api	Software Engineer, University Grad	Glean	skipped
https://job-boards.greenhouse.io/airtable/jobs/8397665002	2026-04-08	greenhouse-api	Engineering Manager, Enterprise Product	Airtable	matched
https://job-boards.greenhouse.io/airtable/jobs/8495850002	2026-04-08	greenhouse-api	Software Engineer	Airtable	skipped
https://job-boards.greenhouse.io/airtable/jobs/8442397002	2026-04-08	greenhouse-api	Software Engineer, Compute (8+ YOE)	Airtable	matched
https://job-boards.greenhouse.io/airtable/jobs/8124953002	2026-04-08	greenhouse-api	Software Engineer, Data	Airtable	matched
https://job-boards.greenhouse.io/airtable/jobs/8400373002	2026-04-08	greenhouse-api	Software Engineer, Infrastructure (2-8 YOE)	Airtable	skipped
https://job-boards.greenhouse.io/airtable/jobs/8400388002	2026-04-08	greenhouse-api	Software Engineer, Infrastructure (8+ YOE)	Airtable	matched
https://job-boards.greenhouse.io/airtable/jobs/8400374002	2026-04-08	greenhouse-api	Software Engineer, Observability	Airtable	matched
https://job-boards.greenhouse.io/airtable/jobs/8397618002	2026-04-08	greenhouse-api	Software Engineer, Product Backend (8+ YOE)	Airtable	matched
https://job-boards.greenhouse.io/arizeai/jobs/5661972004	2026-04-08	greenhouse-api	AI Engineer, Instrumentation	Arize AI	matched
https://job-boards.greenhouse.io/arizeai/jobs/5421310004	2026-04-08	greenhouse-api	Engineering Manager - Product & Platform	Arize AI	matched
https://job-boards.greenhouse.io/arizeai/jobs/5693219004	2026-04-08	greenhouse-api	Senior DevOps Engineer (APJ)	Arize AI	skipped
https://retool.com/careers/software-engineer-data-platform--engineering--san-francisco-ca	2026-04-08	websearch	Software Engineer, Data Platform	Retool	matched
https://retool.com/careers/software-engineer--engineering--san-francisco-ca	2026-04-08	websearch	Software Engineer	Retool	skipped
https://retool.com/careers/software-engineer-ai-agents---software-engineering--san-francisco-united-states	2026-04-08	websearch	Software Engineer, AI Agents	Retool	matched
https://retool.com/careers/software-engineer-internal-platform---engineering--san-francisco-ca	2026-04-08	websearch	Software Engineer, Internal Platform	Retool	skipped
https://retool.com/careers/software-engineer-developer-experience--engineering--san-francisco-ca	2026-04-08	websearch	Software Engineer, Developer Experience	Retool	skipped
https://retool.com/careers/software-engineer-workflows--engineering--new-york-ny	2026-04-08	websearch	Software Engineer, Workflows	Retool	matched
https://retool.com/careers/software-engineer-resources--engineering--san-francisco-united-states	2026-04-08	websearch	Software Engineer, Resources	Retool	skipped
https://retool.com/careers/software-engineer-observability--infrastructure-engineering--san-francisco-united-states	2026-04-08	websearch	Software Engineer, Observability	Retool	matched
https://retool.com/careers/software-engineer-ai-product-engineer---software-engineering--san-francisco-united-states	2026-04-08	websearch	Software Engineer, AI Product Engineer	Retool	skipped
https://jobs.lever.co/palantir/2cd25c0b-088d-4a5c-9b96-1165a33fe652	2026-04-08	websearch	Senior Backend Software Engineer - Infrastructure	Palantir	matched
https://jobs.lever.co/palantir/55005ee7-4e06-4520-b569-f6e8f26745cb	2026-04-08	websearch	Senior Software Engineer, Network Infrastructure	Palantir	matched
https://jobs.lever.co/palantir/8a95dba1-b814-4243-be14-eba1df340ceb	2026-04-08	websearch	Senior Software Engineer - Observability	Palantir	matched
https://jobs.lever.co/palantir/bd6db751-afeb-4736-9329-06aab8fa9557	2026-04-08	websearch	Staff Software Engineer - Observability	Palantir	matched
https://jobs.lever.co/palantir/68d690cf-fc8a-4755-9b69-abe13f93d262	2026-04-08	websearch	Senior Software Engineer, Substrate	Palantir	matched
https://jobs.lever.co/palantir/fb2d3222-dbd8-4e03-8d39-47b820e9509c	2026-04-08	websearch	Backend Software Engineer - Infrastructure	Palantir	matched
https://jobs.lever.co/palantir/4abf26b4-795c-420a-bf22-1ab98db268b4	2026-04-08	websearch	Software Engineer, New Grad - Infrastructure	Palantir	skipped
https://jobs.lever.co/palantir/e1a6c138-98bf-45e2-97f7-2c70371cc38a	2026-04-08	websearch	Software Engineer, New Grad - Production Infrastructure	Palantir	skipped
https://jobs.lever.co/palantir/e27af7ab-41fc-40c9-b31d-02c6cb1c505c	2026-04-08	websearch	Software Engineer, Internship	Palantir	skipped
https://jobs.lever.co/palantir/fd3603a9-7016-45c6-9c8d-04c9279ab85e	2026-04-08	websearch	Software Engineer, Internship - Infrastructure	Palantir	skipped
https://jobs.lever.co/palantir/373367a9-3160-49d8-b7af-2efec062fad1	2026-04-08	websearch	Software Engineer, Internship - Production Infrastructure	Palantir	skipped
https://jobs.lever.co/palantir/7177acab-5c64-4005-9b28-93f33b3e172a	2026-04-08	websearch	Senior Backend Software Engineer - Application Development	Palantir	matched
https://jobs.ashbyhq.com/cohere/f5f727bc-9eab-4fcc-9fdd-92a9ce47c37c	2026-04-08	websearch	Full-Stack Software Engineer, Inference	Cohere	matched
https://jobs.ashbyhq.com/cohere/02c92e66-c89d-4a62-8961-c260d651afe1	2026-04-08	websearch	Software Engineer, Internal Infrastructure (North America)	Cohere	matched
https://jobs.ashbyhq.com/cohere/70664617-84f6-4ee8-a4f6-4037ebfda9db	2026-04-08	websearch	Senior Software Engineer, Agent Infrastructure	Cohere	matched
