url	first_seen	portal	title	company	status
https://databricks.com/company/careers/open-positions/job?gh_jid=8502969002	2026-05-15	greenhouse-api	Engineering Manager, Spark Connect	Databricks	matched
https://job-boards.greenhouse.io/scaleai/jobs/4689751005	2026-05-15	greenhouse-api	Senior AI Infrastructure Engineer - Training Platform	Scale AI	skipped_location
https://nuro.ai/careersitem?gh_jid=7782682	2026-05-15	greenhouse-api	Senior Software Engineer - GenAI Infrastructure & Agent Systems	Nuro	matched
https://nuro.ai/careersitem?gh_jid=7838557	2026-05-15	greenhouse-api	Senior Software Engineer, Cloud Efficiency & Cost Optimization	Nuro	matched
https://nuro.ai/careersitem?gh_jid=7913297	2026-05-15	greenhouse-api	Senior Software Engineer, Over-the-Air Updates	Nuro	matched
https://job-boards.greenhouse.io/anthropic/jobs/5125387008	2026-05-15	greenhouse-api	Analytics Data Engineering Manager, Product	Anthropic	matched
https://job-boards.greenhouse.io/planetlabs/jobs/7603801	2026-05-15	greenhouse-api	Senior Engineering Manager - AI Geospatial Assistant Team	Planet Labs	matched
https://job-boards.greenhouse.io/planetlabs/jobs/7689257	2026-05-15	greenhouse-api	Senior Geospatial AI/ML Engineer	Planet Labs	matched
https://www.zipline.com/careers?gh_jid=7667529003	2026-05-15	greenhouse-api	Senior Full Stack Software Engineer - Health Care	Zipline	matched
https://www.samsara.com/company/careers/roles/7597673?gh_jid=7597673	2026-05-15	greenhouse-api	Staff Software Engineer	Samsara	matched
https://jobs.ashbyhq.com/openai/4f5a0df1-22d7-49a6-8ea1-c15c886fbade	2026-05-15	ashby	Engineering Manager, Data Infrastructure	OpenAI	matched
https://jobs.ashbyhq.com/confluent/4ac58d2c-2003-4753-99e9-e35906297f28	2026-05-15	ashby	Staff Software Engineer	Confluent	matched
https://jobs.ashbyhq.com/confluent/993cd972-d032-4892-bf4f-804f056604a4	2026-05-15	ashby	Senior Software Engineer II - Cloud Compute Platform	Confluent	matched
https://jobs.ashbyhq.com/confluent/0605ed11-ec59-428f-9f69-b24b25c575ed	2026-05-15	ashby	Senior Software Engineer - Connect Platform	Confluent	matched
https://jobs.ashbyhq.com/confluent/2b7f816b-9f5b-4023-b38d-46fd3e117298	2026-05-15	ashby	Staff Software Engineer I - Stream Governance	Confluent	matched
https://jobs.ashbyhq.com/astronomer/01976be2-0e8a-43b3-9c2b-1937ee5eb5b7	2026-05-15	ashby	Staff Software Engineer, Data	Astronomer	matched
https://jobs.ashbyhq.com/astronomer/702ffc4c-4c58-4cc5-aa5c-85c25253a331	2026-05-15	ashby	Senior Software Engineer, Platform Engineering	Astronomer	matched
https://jobs.ashbyhq.com/motherduck/0491624c-97ad-4a94-8bb2-f93b48d548a8	2026-05-15	ashby	Software Engineer - Platform (Infra)	MotherDuck	matched
https://jobs.ashbyhq.com/motherduck/9bf5467c-dfe1-4248-9df5-c43974172057	2026-05-15	ashby	Software Engineer - Storage	MotherDuck	matched
https://jobs.ashbyhq.com/weaviate/6d8fc83f-5be8-43a6-a820-1fe4999ed770	2026-05-15	ashby	Cloud Platform Engineer	Weaviate	matched
https://boards-api.greenhouse.io/v1/boards/clickhouse/jobs	2026-05-15	greenhouse-api	(full scan - 6 new)	ClickHouse	scanned
https://boards-api.greenhouse.io/v1/boards/temporaltechnologies/jobs	2026-05-15	greenhouse-api	(full scan - 5 new)	Temporal	scanned
https://boards-api.greenhouse.io/v1/boards/chainguard/jobs	2026-05-15	greenhouse-api	(full scan - 2 new)	Chainguard	scanned
https://boards-api.greenhouse.io/v1/boards/airtable/jobs	2026-05-15	greenhouse-api	(full scan - 4 new)	Airtable	scanned
https://boards-api.greenhouse.io/v1/boards/aurorainnovation/jobs	2026-05-15	greenhouse-api	(full scan - 2 new)	Aurora Innovation	scanned
https://boards-api.greenhouse.io/v1/boards/databricks/jobs	2026-05-15	greenhouse-api	(full scan - 2 new)	Databricks	scanned
https://boards-api.greenhouse.io/v1/boards/scaleai/jobs	2026-05-15	greenhouse-api	(full scan - 1 skipped location)	Scale AI	scanned
https://boards-api.greenhouse.io/v1/boards/nuro/jobs	2026-05-15	greenhouse-api	(full scan - 3 new)	Nuro	scanned
https://boards-api.greenhouse.io/v1/boards/anthropic/jobs	2026-05-15	greenhouse-api	(full scan - 1 new)	Anthropic	scanned
https://boards-api.greenhouse.io/v1/boards/planetlabs/jobs	2026-05-15	greenhouse-api	(full scan - 2 new)	Planet Labs	scanned
https://boards-api.greenhouse.io/v1/boards/flyzipline/jobs	2026-05-15	greenhouse-api	(full scan - 1 new)	Zipline	scanned
https://boards-api.greenhouse.io/v1/boards/samsara/jobs	2026-05-15	greenhouse-api	(full scan via websearch - 1 new)	Samsara	scanned
https://jobs.ashbyhq.com/openai	2026-05-15	ashby	(websearch discovery)	OpenAI	scanned
https://jobs.ashbyhq.com/confluent	2026-05-15	ashby	(websearch discovery - 4 new)	Confluent	scanned
https://jobs.ashbyhq.com/astronomer	2026-05-15	ashby	(websearch discovery - 2 new)	Astronomer	scanned
https://jobs.ashbyhq.com/motherduck	2026-05-15	ashby	(websearch discovery - 2 new)	MotherDuck	scanned
https://jobs.ashbyhq.com/weaviate	2026-05-15	ashby	(websearch discovery - 1 new)	Weaviate	scanned
